capital,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
Mariehamn,6.0,0.0,2.0,36.0,11.0,20.0,19.0,8.0,38.0,31.0
Tirana,0.0,29.0,4.0,96.0,90.0,26.0,23.0,6.0,41.0,88.0
Andorra la Vella,6.0,4.0,3.0,71.0,12.0,16.0,34.0,2.0,61.0,43.0
Vienna,160.0,130.0,6.0,127.0,109.0,248.0,205.0,54.0,230.0,239.0
Minsk,153.0,162.0,5.0,107.0,98.0,253.0,225.0,154.0,227.0,237.0
Brussels,175.0,233.0,13.0,135.0,115.0,264.0,239.0,59.0,239.0,243.0
Sarajevo,32.0,36.0,6.0,100.0,85.0,42.0,50.0,24.0,45.0,111.0
Sofia,132.0,116.0,24.0,144.0,103.0,249.0,227.0,55.0,223.0,182.0
Zagreb,91.0,59.0,5.0,116.0,102.0,153.0,148.0,12.0,198.0,118.0
Nicosia,85.0,107.0,18.0,117.0,98.0,137.0,214.0,81.0,192.0,91.0
Prague,229.0,153.0,20.0,187.0,164.0,271.0,251.0,175.0,239.0,242.0
Copenhagen,143.0,112.0,9.0,120.0,109.0,240.0,175.0,19.0,237.0,226.0
Tallinn,131.0,69.0,8.0,119.0,97.0,220.0,186.0,39.0,218.0,205.0
Tórshavn,4.0,5.0,1.0,17.0,6.0,4.0,6.0,0.0,8.0,10.0
Helsinki,166.0,103.0,5.0,161.0,121.0,270.0,228.0,55.0,242.0,231.0
Paris,240.0,160.0,26.0,125.0,101.0,262.0,218.0,51.0,226.0,243.0
Berlin,233.0,156.0,13.0,187.0,119.0,272.0,217.0,37.0,245.0,246.0
Gibraltar,6.0,6.0,2.0,14.0,17.0,13.0,29.0,5.0,36.0,29.0
Athens,193.0,111.0,12.0,160.0,116.0,276.0,243.0,13.0,230.0,199.0
St. Peter Port,9.0,4.0,3.0,37.0,21.0,11.0,13.0,4.0,27.0,23.0
Budapest,192.0,133.0,6.0,179.0,147.0,279.0,237.0,125.0,246.0,235.0
Reykjavik,67.0,55.0,10.0,104.0,83.0,105.0,103.0,13.0,141.0,102.0
Dublin,17.0,23.0,5.0,95.0,28.0,125.0,164.0,31.0,225.0,53.0
Douglas,5.0,5.0,0.0,37.0,6.0,9.0,64.0,5.0,129.0,8.0
Rome,156.0,74.0,9.0,102.0,95.0,217.0,205.0,9.0,193.0,156.0
Saint Helier,6.0,5.0,0.0,27.0,16.0,14.0,14.0,3.0,50.0,28.0
Pristina,18.0,70.0,3.0,100.0,75.0,61.0,56.0,23.0,48.0,48.0
Riga,142.0,142.0,8.0,157.0,105.0,266.0,248.0,147.0,244.0,228.0
Vaduz,6.0,4.0,0.0,23.0,10.0,8.0,44.0,3.0,28.0,16.0
Vilnius,115.0,92.0,4.0,102.0,93.0,170.0,186.0,34.0,202.0,115.0
Luxembourg,23.0,30.0,7.0,101.0,95.0,95.0,96.0,18.0,77.0,102.0
Skopje,54.0,78.0,5.0,106.0,99.0,156.0,172.0,23.0,186.0,92.0
Valletta,16.0,4.0,3.0,74.0,40.0,22.0,45.0,13.0,26.0,26.0
Chișinău,32.0,52.0,0.0,98.0,63.0,79.0,84.0,8.0,97.0,98.0
Monaco,12.0,4.0,18.0,95.0,43.0,40.0,48.0,24.0,106.0,39.0
Podgorica,20.0,55.0,6.0,99.0,97.0,85.0,85.0,20.0,95.0,59.0
Amsterdam,188.0,137.0,15.0,140.0,145.0,259.0,243.0,58.0,246.0,237.0
Oslo,106.0,83.0,5.0,119.0,99.0,218.0,177.0,17.0,225.0,208.0
Warsaw,127.0,72.0,4.0,115.0,97.0,219.0,192.0,56.0,213.0,190.0
Lisbon,134.0,109.0,14.0,120.0,104.0,234.0,212.0,57.0,209.0,214.0
Bucharest,124.0,50.0,5.0,120.0,99.0,188.0,192.0,36.0,223.0,141.0
Moscow,275.0,236.0,27.0,203.0,180.0,295.0,281.0,215.0,250.0,249.0
City of San Marino,7.0,4.0,1.0,39.0,7.0,14.0,12.0,0.0,37.0,12.0
Belgrade,138.0,91.0,5.0,159.0,132.0,226.0,226.0,25.0,221.0,160.0
Bratislava,0.0,66.0,12.0,126.0,0.0,0.0,193.0,67.0,196.0,167.0
Ljubljana,64.0,80.0,10.0,99.0,97.0,117.0,118.0,8.0,140.0,99.0
Madrid,151.0,142.0,10.0,101.0,93.0,255.0,0.0,24.0,223.0,232.0
Longyearbyen,4.0,4.0,0.0,10.0,6.0,4.0,11.0,1.0,7.0,14.0
Stockholm,147.0,75.0,6.0,165.0,140.0,249.0,185.0,18.0,236.0,226.0
Bern,47.0,67.0,4.0,94.0,59.0,75.0,85.0,9.0,118.0,137.0
Kiev,228.0,223.0,13.0,210.0,163.0,295.0,270.0,211.0,248.0,224.0
London,259.0,224.0,20.0,190.0,179.0,279.0,252.0,156.0,245.0,246.0
Vatican City,27.0,36.0,8.0,116.0,41.0,8.0,14.0,5.0,54.0,4.0
